cell_line,fold,roc_auc,average_precision,f1_score,recall,precision,primary_metric,quantile
CVCL_0028,2,0.3934955298900604,0.8103775382041931,0.8420201539993286,0.9346288442611694,0.8197057843208313,,0.8
CVCL_0028,2,0.393921822309494,0.8133653998374939,0.8452269434928894,0.9355645775794983,0.8227955102920532,,0.9
CVCL_0028,2,0.39418694376945496,0.8155317306518555,0.8473793864250183,0.935857892036438,0.825260579586029,,0.99
CVCL_0028,2,0.39418694376945496,0.8155317306518555,0.8473793864250183,0.935857892036438,0.825260579586029,,0.995
CVCL_0028,3,0.3100624084472656,0.7532528638839722,0.7766996026039124,0.8039723634719849,0.7786391377449036,,0.005
CVCL_0028,3,0.3100624084472656,0.7532528638839722,0.7766996026039124,0.8039723634719849,0.7786391377449036,,0.01
CVCL_0028,3,0.3103629946708679,0.7534080743789673,0.7767659425735474,0.8043816089630127,0.7787137627601624,,0.1
CVCL_0028,3,0.3107706904411316,0.7534604072570801,0.7772789001464844,0.8054527640342712,0.7787767052650452,,0.2
CVCL_0028,3,0.3113832473754883,0.7543615698814392,0.7783060669898987,0.805921196937561,0.7798354029655457,,0.5
CVCL_0028,3,0.3956412374973297,0.8147053718566895,0.8457490801811218,0.9237874746322632,0.8260987997055054,,0.8
CVCL_0028,3,0.3961018919944763,0.8156192302703857,0.8464374542236328,0.9240463972091675,0.827502429485321,,0.9
CVCL_0028,3,0.3984012007713318,0.8168508410453796,0.8477640151977539,0.9276471734046936,0.8279529809951782,,0.99
CVCL_0028,3,0.3984012007713318,0.8168508410453796,0.8477640151977539,0.9276471734046936,0.8279529809951782,,0.995
CVCL_0028,4,0.278064489364624,0.7957544922828674,0.815924346446991,0.847529411315918,0.8145834803581238,,0.005
CVCL_0028,4,0.278064489364624,0.7957544922828674,0.815924346446991,0.847529411315918,0.8145834803581238,,0.01
CVCL_0028,4,0.2785477042198181,0.7958177328109741,0.8163653612136841,0.847935140132904,0.8152362108230591,,0.1
CVCL_0028,4,0.2785927355289459,0.7964606881141663,0.8170538544654846,0.8481626510620117,0.816110372543335,,0.2
CVCL_0028,4,0.2789951264858246,0.797563374042511,0.8180107474327087,0.848876416683197,0.8170214891433716,,0.5
CVCL_0028,4,0.33635589480400085,0.8316013813018799,0.8564764261245728,0.92668616771698,0.8411855697631836,,0.8
CVCL_0028,4,0.33677810430526733,0.8316038250923157,0.8565897345542908,0.9272725582122803,0.8413726091384888,,0.9
CVCL_0028,4,0.33680787682533264,0.8326629400253296,0.8576867580413818,0.9272890090942383,0.842373788356781,,0.99
CVCL_0028,4,0.33680787682533264,0.8326629400253296,0.8576867580413818,0.9272890090942383,0.842373788356781,,0.995
CVCL_0069,0,0.4717143177986145,0.7139024138450623,0.7619377970695496,0.8230963945388794,0.7521675825119019,,0.005
CVCL_0069,0,0.4717143177986145,0.7139024138450623,0.7619377970695496,0.8230963945388794,0.7521675825119019,,0.01
CVCL_0069,0,0.47193092107772827,0.7152276039123535,0.763521671295166,0.8231531977653503,0.7535302639007568,,0.1
CVCL_0069,0,0.472072035074234,0.7153577208518982,0.7636423707008362,0.8237156867980957,0.754654586315155,,0.2
CVCL_0069,0,0.4724588394165039,0.7166249752044678,0.7651718258857727,0.8241772055625916,0.7559813857078552,,0.5
CVCL_0069,0,0.5212523937225342,0.7518538236618042,0.7992727160453796,0.8892565369606018,0.7762081623077393,,0.8
CVCL_0069,0,0.5219841003417969,0.7519335746765137,0.7995052337646484,0.8905630111694336,0.7764167785644531,,0.9
CVCL_0069,0,0.5228531956672668,0.7523884177207947,0.7996280193328857,0.8917306065559387,0.7768230438232422,,0.99
CVCL_0069,0,0.5228531956672668,0.7523884177207947,0.7996280193328857,0.8917306065559387,0.7768230438232422,,0.995
CVCL_0069,1,0.47528448700904846,0.7093054056167603,0.758376955986023,0.8127176761627197,0.7510133981704712,,0.005
CVCL_0069,1,0.47528448700904846,0.7093054056167603,0.758376955986023,0.8127176761627197,0.7510133981704712,,0.01
CVCL_0069,1,0.4753008484840393,0.7098227143287659,0.7592939138412476,0.8130899667739868,0.7521812915802002,,0.1
CVCL_0069,1,0.47559818625450134,0.7103914618492126,0.7599024176597595,0.8133511543273926,0.7523092031478882,,0.2
CVCL_0069,1,0.4764060378074646,0.7124117612838745,0.7620888948440552,0.8144857883453369,0.7548206448554993,,0.5
CVCL_0069,1,0.5284152030944824,0.7504414916038513,0.7986726760864258,0.8852046132087708,0.7767301201820374,,0.8
CVCL_0069,1,0.5285800695419312,0.7514051795005798,0.7993295192718506,0.8853434920310974,0.777708113193512,,0.9
CVCL_0069,1,0.5295754671096802,0.7525807619094849,0.8010355830192566,0.886886477470398,0.7790849804878235,,0.99
CVCL_0069,1,0.5295754671096802,0.7525807619094849,0.8010355830192566,0.886886477470398,0.7790849804878235,,0.995
CVCL_0069,2,0.5150660276412964,0.7041653394699097,0.7559795379638672,0.8072187900543213,0.7488768100738525,,0.005
CVCL_0069,2,0.5150660276412964,0.7041653394699097,0.7559795379638672,0.8072187900543213,0.7488768100738525,,0.01
CVCL_0069,2,0.5152674913406372,0.7060652375221252,0.7580300569534302,0.8073733448982239,0.7508955001831055,,0.1
CVCL_0069,2,0.5153754353523254,0.7062661051750183,0.7580998539924622,0.8075804114341736,0.7516776919364929,,0.2
CVCL_0069,2,0.5161867141723633,0.7076583504676819,0.7599183320999146,0.8089879751205444,0.7546623349189758,,0.5
CVCL_0069,2,0.5694185495376587,0.7428604960441589,0.7944387793540955,0.8809437155723572,0.7720345258712769,,0.8
CVCL_0069,2,0.5700374841690063,0.7438031435012817,0.7958086133003235,0.8823661804199219,0.7723715305328369,,0.9
CVCL_0069,2,0.571969211101532,0.7441555261611938,0.7962698936462402,0.8849438428878784,0.7736102342605591,,0.99
CVCL_0069,2,0.571969211101532,0.7441555261611938,0.7962698936462402,0.8849438428878784,0.7736102342605591,,0.995
CVCL_0069,3,0.4988349676132202,0.6749876141548157,0.7282295227050781,0.7729302048683167,0.7247029542922974,,0.005
CVCL_0069,3,0.4988349676132202,0.6749876141548157,0.7282295227050781,0.7729302048683167,0.7247029542922974,,0.01
CVCL_0069,3,0.499748170375824,0.67616206407547,0.7293604612350464,0.7744570374488831,0.726093053817749,,0.1
CVCL_0069,3,0.5001250505447388,0.6772738695144653,0.730638325214386,0.7746702432632446,0.7282758355140686,,0.2
CVCL_0069,3,0.5006174445152283,0.6784026622772217,0.7321375012397766,0.7758094072341919,0.7289522290229797,,0.5
CVCL_0069,3,0.5744673013687134,0.7391471862792969,0.7925156354904175,0.8772851228713989,0.7695060968399048,,0.8
CVCL_0069,3,0.575462281703949,0.7394824028015137,0.7925381660461426,0.8784972429275513,0.7702507376670837,,0.9
CVCL_0069,3,0.5755797624588013,0.739575207233429,0.7935070395469666,0.8787246942520142,0.7712329030036926,,0.99
CVCL_0069,3,0.5755797624588013,0.739575207233429,0.7935070395469666,0.8787246942520142,0.7712329030036926,,0.995
CVCL_0069,4,0.4900268316268921,0.6923182606697083,0.7436293959617615,0.7912956476211548,0.7391051650047302,,0.005
CVCL_0069,4,0.4900268316268921,0.6923182606697083,0.7436293959617615,0.7912956476211548,0.7391051650047302,,0.01
CVCL_0069,4,0.4905051589012146,0.6932262778282166,0.7446374893188477,0.7920239567756653,0.7400454878807068,,0.1
CVCL_0069,4,0.4908367693424225,0.6940792202949524,0.7455866932868958,0.7925190925598145,0.74111407995224,,0.2
CVCL_0069,4,0.4918658435344696,0.6952329277992249,0.7467225790023804,0.794084906578064,0.7429659962654114,,0.5
CVCL_0069,4,0.5562296509742737,0.7436680793762207,0.7947490215301514,0.8810520768165588,0.7719935178756714,,0.8
CVCL_0069,4,0.5569720268249512,0.7443450093269348,0.7950816750526428,0.8818494081497192,0.7722811102867126,,0.9
CVCL_0069,4,0.5575734376907349,0.7454004287719727,0.7962380647659302,0.8827047348022461,0.7735423445701599,,0.99
CVCL_0069,4,0.5575734376907349,0.7454004287719727,0.7962380647659302,0.8827047348022461,0.7735423445701599,,0.995
CVCL_0099,0,0.38595831394195557,0.7725300788879395,0.8089368343353271,0.8673040866851807,0.7978047132492065,,0.005
CVCL_0099,0,0.38595831394195557,0.7725300788879395,0.8089368343353271,0.8673040866851807,0.7978047132492065,,0.01
CVCL_0099,0,0.3865378499031067,0.7727998495101929,0.8094083666801453,0.8679583072662354,0.7978610992431641,,0.1
CVCL_0099,0,0.38683125376701355,0.7730253338813782,0.8095068335533142,0.8685194253921509,0.7984655499458313,,0.2
CVCL_0099,0,0.3870391845703125,0.7737218737602234,0.8105418682098389,0.8686961531639099,0.7998559474945068,,0.5
CVCL_0099,0,0.4201103448867798,0.7948231101036072,0.8313460946083069,0.9136520028114319,0.8110122680664062,,0.8
CVCL_0099,0,0.42047449946403503,0.7951797246932983,0.8321523070335388,0.9142277836799622,0.8116147518157959,,0.9
CVCL_0099,0,0.4210371673107147,0.7952263951301575,0.8322685956954956,0.9150618314743042,0.8118282556533813,,0.99
CVCL_0099,0,0.4210371673107147,0.7952263951301575,0.8322685956954956,0.9150618314743042,0.8118282556533813,,0.995
CVCL_0099,1,0.39748436212539673,0.7694439888000488,0.807100772857666,0.8571098446846008,0.7979681491851807,,0.005
CVCL_0099,1,0.39748436212539673,0.7694439888000488,0.807100772857666,0.8571098446846008,0.7979681491851807,,0.01
CVCL_0099,1,0.3984423279762268,0.7695636749267578,0.8072793483734131,0.858485996723175,0.7981036305427551,,0.1
CVCL_0099,1,0.39924317598342896,0.7707560658454895,0.8084967732429504,0.8595886826515198,0.8004991412162781,,0.2
CVCL_0099,1,0.39964184165000916,0.7709922790527344,0.8090353012084961,0.8600320219993591,0.8007659912109375,,0.5
CVCL_0099,1,0.43528079986572266,0.7920681238174438,0.8295900821685791,0.908967912197113,0.8097006678581238,,0.8
