quantile,value,pert_id,n_batches_pert,cell_line
0.5,3.9903884692034746,Aurora A Inhibitor I,2,sciplex_MCF7
0.8,4.6621200086435675,Aurora A Inhibitor I,2,sciplex_MCF7
0.9,4.719281899112111,Aurora A Inhibitor I,2,sciplex_MCF7
0.99,4.852417238331402,Aurora A Inhibitor I,2,sciplex_MCF7
0.995,4.903466360767798,Aurora A Inhibitor I,2,sciplex_MCF7
0.1,3.2302833279950707,Avagacestat (BMS-708163),2,sciplex_MCF7
0.2,3.288496139427454,Avagacestat (BMS-708163),2,sciplex_MCF7
0.5,3.436861464795573,Avagacestat (BMS-708163),2,sciplex_MCF7
0.8,4.992989559926222,Avagacestat (BMS-708163),2,sciplex_MCF7
0.9,5.0609753640387884,Avagacestat (BMS-708163),2,sciplex_MCF7
0.99,5.195386007940582,Avagacestat (BMS-708163),2,sciplex_MCF7
0.995,5.341325159028777,Avagacestat (BMS-708163),2,sciplex_MCF7
0.1,3.274243755733193,Azacitidine ,2,sciplex_MCF7
0.2,3.338196686902062,Azacitidine ,2,sciplex_MCF7
0.5,3.54052943942779,Azacitidine ,2,sciplex_MCF7
0.8,5.108384976067116,Azacitidine ,2,sciplex_MCF7
0.9,5.332593730304545,Azacitidine ,2,sciplex_MCF7
0.99,5.645092899533562,Azacitidine ,2,sciplex_MCF7
0.995,5.71827198356463,Azacitidine ,2,sciplex_MCF7
0.1,3.7607030987169696,BMS-265246,2,sciplex_MCF7
0.2,3.8307277287646944,BMS-265246,2,sciplex_MCF7
0.5,4.936264399017416,BMS-265246,2,sciplex_MCF7
0.8,5.954899871882119,BMS-265246,2,sciplex_MCF7
0.9,6.093226368211525,BMS-265246,2,sciplex_MCF7
0.99,6.508741280639254,BMS-265246,2,sciplex_MCF7
0.995,6.527186131571152,BMS-265246,2,sciplex_MCF7
0.1,3.7714263413519054,BMS-536924,2,sciplex_MCF7
0.2,3.84620182596788,BMS-536924,2,sciplex_MCF7
0.5,4.115269415032986,BMS-536924,2,sciplex_MCF7
0.8,5.51346871867459,BMS-536924,2,sciplex_MCF7
0.9,6.033231623991522,BMS-536924,2,sciplex_MCF7
0.99,6.386730290549246,BMS-536924,2,sciplex_MCF7
0.995,6.443284447287425,BMS-536924,2,sciplex_MCF7
0.1,5.149747300314346,BMS-754807,2,sciplex_MCF7
0.2,5.452604710660982,BMS-754807,2,sciplex_MCF7
0.5,6.792420763066311,BMS-754807,2,sciplex_MCF7
0.8,7.627280602603772,BMS-754807,2,sciplex_MCF7
0.9,8.279903551964802,BMS-754807,2,sciplex_MCF7
0.99,9.296970317203426,BMS-754807,2,sciplex_MCF7
0.995,9.496032986909272,BMS-754807,2,sciplex_MCF7
0.1,3.0676762993131796,BMS-911543,2,sciplex_MCF7
0.2,3.1210368564155218,BMS-911543,2,sciplex_MCF7
0.5,3.8691233013608475,BMS-911543,2,sciplex_MCF7
0.8,4.462627388481765,BMS-911543,2,sciplex_MCF7
0.9,4.51847341275962,BMS-911543,2,sciplex_MCF7
0.99,4.737852511893304,BMS-911543,2,sciplex_MCF7
0.995,4.7413121618104554,BMS-911543,2,sciplex_MCF7
0.1,3.3019255059970813,BRD4770,2,sciplex_MCF7
0.2,3.394716644958737,BRD4770,2,sciplex_MCF7
0.5,4.772344567223209,BRD4770,2,sciplex_MCF7
0.8,5.346479845039491,BRD4770,2,sciplex_MCF7
0.9,5.508693105733093,BRD4770,2,sciplex_MCF7
0.99,5.736639777289943,BRD4770,2,sciplex_MCF7
0.995,5.785288664539356,BRD4770,2,sciplex_MCF7
0.1,3.3251464454105646,Barasertib (AZD1152-HQPA),2,sciplex_MCF7
0.2,3.3786643120174378,Barasertib (AZD1152-HQPA),2,sciplex_MCF7
0.5,3.5244808863305592,Barasertib (AZD1152-HQPA),2,sciplex_MCF7
0.8,5.0250243033149085,Barasertib (AZD1152-HQPA),2,sciplex_MCF7
0.9,5.136051825436647,Barasertib (AZD1152-HQPA),2,sciplex_MCF7
0.99,5.517098465618687,Barasertib (AZD1152-HQPA),2,sciplex_MCF7
0.995,5.663005463118811,Barasertib (AZD1152-HQPA),2,sciplex_MCF7
0.1,3.032986745263948,"Baricitinib (LY3009104, INCB028050)",2,sciplex_MCF7
0.2,3.0995436508202605,"Baricitinib (LY3009104, INCB028050)",2,sciplex_MCF7
0.5,4.262807184332685,"Baricitinib (LY3009104, INCB028050)",2,sciplex_MCF7
0.8,4.723209207078488,"Baricitinib (LY3009104, INCB028050)",2,sciplex_MCF7
0.9,4.809272221249235,"Baricitinib (LY3009104, INCB028050)",2,sciplex_MCF7
0.99,4.944895461363157,"Baricitinib (LY3009104, INCB028050)",2,sciplex_MCF7
0.995,4.981541890043778,"Baricitinib (LY3009104, INCB028050)",2,sciplex_MCF7
0.1,3.130101454796683,Belinostat (PXD101),2,sciplex_MCF7
0.2,3.1637408698603062,Belinostat (PXD101),2,sciplex_MCF7
0.5,3.240229112551318,Belinostat (PXD101),2,sciplex_MCF7
0.8,3.931409183861568,Belinostat (PXD101),2,sciplex_MCF7
0.9,5.0396530513465665,Belinostat (PXD101),2,sciplex_MCF7
0.99,5.284209157454608,Belinostat (PXD101),2,sciplex_MCF7
0.995,5.284307069555654,Belinostat (PXD101),2,sciplex_MCF7
0.1,7.199734325824833,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),2,sciplex_MCF7
0.2,7.455826374513027,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),2,sciplex_MCF7
0.5,8.565360427190353,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),2,sciplex_MCF7
0.8,11.15490105562204,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),2,sciplex_MCF7
0.9,11.704658257211358,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),2,sciplex_MCF7
0.99,13.372588714250723,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),2,sciplex_MCF7
0.995,13.985172393851613,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),2,sciplex_MCF7
0.1,4.349268704951325,Bosutinib (SKI-606),2,sciplex_MCF7
0.2,4.476571545287916,Bosutinib (SKI-606),2,sciplex_MCF7
0.5,4.804297719289661,Bosutinib (SKI-606),2,sciplex_MCF7
0.8,6.533816302713694,Bosutinib (SKI-606),2,sciplex_MCF7
0.9,6.6909452045897035,Bosutinib (SKI-606),2,sciplex_MCF7
0.99,7.1213108584268365,Bosutinib (SKI-606),2,sciplex_MCF7
0.995,7.199923680496568,Bosutinib (SKI-606),2,sciplex_MCF7
0.1,3.3402962940904732,Busulfan ,2,sciplex_MCF7
0.2,3.46974601317119,Busulfan ,2,sciplex_MCF7
0.5,4.721232030321266,Busulfan ,2,sciplex_MCF7
0.8,5.037904260632975,Busulfan ,2,sciplex_MCF7
0.9,5.118052874568952,Busulfan ,2,sciplex_MCF7
0.99,5.351453169168036,Busulfan ,2,sciplex_MCF7
0.995,5.366284180798064,Busulfan ,2,sciplex_MCF7
0.1,3.004192772894756,CEP-33779,2,sciplex_MCF7
0.2,3.041358122230609,CEP-33779,2,sciplex_MCF7
0.5,3.7112443552691046,CEP-33779,2,sciplex_MCF7
0.8,4.248079576934706,CEP-33779,2,sciplex_MCF7
0.9,4.45424639923162,CEP-33779,2,sciplex_MCF7
0.99,4.711570597997371,CEP-33779,2,sciplex_MCF7
0.995,4.749566762264701,CEP-33779,2,sciplex_MCF7
0.1,3.622267848113818,CUDC-101,2,sciplex_MCF7
0.2,3.712788418258975,CUDC-101,2,sciplex_MCF7
0.5,5.4797002293918275,CUDC-101,2,sciplex_MCF7
0.8,5.799542983931533,CUDC-101,2,sciplex_MCF7
0.9,6.043545125273449,CUDC-101,2,sciplex_MCF7
0.99,6.468558889902883,CUDC-101,2,sciplex_MCF7
0.995,6.836046979729748,CUDC-101,2,sciplex_MCF7
0.1,3.7372355337776075,CUDC-907,2,sciplex_MCF7
0.2,3.8028315665990413,CUDC-907,2,sciplex_MCF7
0.5,3.9763560736164347,CUDC-907,2,sciplex_MCF7
0.8,5.924634319173181,CUDC-907,2,sciplex_MCF7
0.9,6.130964463966123,CUDC-907,2,sciplex_MCF7
0.99,6.427989518839202,CUDC-907,2,sciplex_MCF7
0.995,6.449254578267274,CUDC-907,2,sciplex_MCF7
0.1,3.7350896755644465,CYC116,2,sciplex_MCF7
0.2,3.821925869742391,CYC116,2,sciplex_MCF7
0.5,5.292701211504719,CYC116,2,sciplex_MCF7
0.8,5.884780283526552,CYC116,2,sciplex_MCF7
0.9,6.007105622963324,CYC116,2,sciplex_MCF7
0.99,6.494786135262593,CYC116,2,sciplex_MCF7
0.995,6.585407411919298,CYC116,2,sciplex_MCF7
0.1,3.2820910903556952,Capecitabine ,2,sciplex_MCF7
0.2,3.323905172335068,Capecitabine ,2,sciplex_MCF7
0.5,4.093136136410758,Capecitabine ,2,sciplex_MCF7
0.8,4.899353143021865,Capecitabine ,2,sciplex_MCF7
0.9,5.047870468857372,Capecitabine ,2,sciplex_MCF7
0.99,5.320393014531475,Capecitabine ,2,sciplex_MCF7
0.995,5.3323099270851,Capecitabine ,2,sciplex_MCF7
0.1,3.4152773595943855,Carmofur,2,sciplex_MCF7
0.2,3.4613082343628454,Carmofur,2,sciplex_MCF7
0.5,3.6535761487218616,Carmofur,2,sciplex_MCF7
0.8,5.226563461054558,Carmofur,2,sciplex_MCF7
0.9,5.322207428426913,Carmofur,2,sciplex_MCF7
0.99,5.6719848798209425,Carmofur,2,sciplex_MCF7
0.995,5.715340388262163,Carmofur,2,sciplex_MCF7
0.1,4.459105304527643,Cediranib (AZD2171),2,sciplex_MCF7
0.2,4.590496629991632,Cediranib (AZD2171),2,sciplex_MCF7
0.5,5.626866174979748,Cediranib (AZD2171),2,sciplex_MCF7
0.8,7.244878082547564,Cediranib (AZD2171),2,sciplex_MCF7
0.9,7.423946412610353,Cediranib (AZD2171),2,sciplex_MCF7
0.99,8.119341900519604,Cediranib (AZD2171),2,sciplex_MCF7
0.995,8.12451441149375,Cediranib (AZD2171),2,sciplex_MCF7
0.1,3.47879427158463,Celecoxib,2,sciplex_MCF7
