cell_line,fold,roc_auc,average_precision,f1_score,recall,precision,primary_metric,quantile
K-562,3,0.8580284118652344,0.579029381275177,0.6785187721252441,0.852115273475647,0.6193198561668396,,0.8
Jurkat,3,0.8189253211021423,0.5269904732704163,0.6131499409675598,0.8467890620231628,0.554307222366333,,0.8
Hep-G2,4,0.8014370203018188,0.5775771141052246,0.6654112935066223,0.8499454259872437,0.6114618182182312,,0.8
Jurkat,2,0.797480046749115,0.5214073061943054,0.6024136543273926,0.8463242650032043,0.546924889087677,,0.8
Hep-G2,1,0.8010103106498718,0.5677908062934875,0.6548919081687927,0.8451706767082214,0.6021397709846497,,0.8
K-562,4,0.8635921478271484,0.5804658532142639,0.6808612942695618,0.8556697368621826,0.6202535033226013,,0.8
Hep-G2,3,0.804978609085083,0.5654214024543762,0.6540844440460205,0.8456366658210754,0.5995538830757141,,0.8
hTERT-RPE1,4,0.8155615925788879,0.5763417482376099,0.6678834557533264,0.8406067490577698,0.6145827174186707,,0.8
K-562,0,0.8546454310417175,0.5564258098602295,0.6535512208938599,0.8519012331962585,0.5921656489372253,,0.8
Hep-G2,0,0.7991905212402344,0.5606211423873901,0.6462663412094116,0.8526210784912109,0.5902730226516724,,0.8
K-562,1,0.8621995449066162,0.5742906332015991,0.6735069155693054,0.8501728773117065,0.6154202222824097,,0.8
hTERT-RPE1,2,0.8314354419708252,0.5781172513961792,0.6742358803749084,0.8402581810951233,0.6190046072006226,,0.8
Jurkat,1,0.7908744812011719,0.5263527035713196,0.6073319911956787,0.8413766026496887,0.5526860356330872,,0.8
hTERT-RPE1,0,0.82431560754776,0.5615130662918091,0.6539536118507385,0.8391541242599487,0.5977339148521423,,0.9
Hep-G2,4,0.8020572662353516,0.5789464116096497,0.6674906015396118,0.8509088158607483,0.6130689978599548,,0.9
Hep-G2,3,0.8063294291496277,0.5671293139457703,0.6551582217216492,0.8474318981170654,0.6000430583953857,,0.9
Hep-G2,2,0.8032230734825134,0.5671223998069763,0.6556066870689392,0.8463100790977478,0.6008738279342651,,0.9
hTERT-RPE1,2,0.8318318724632263,0.578742504119873,0.6745074987411499,0.8411571383476257,0.6191698312759399,,0.9
K-562,2,0.8627952337265015,0.5767657160758972,0.6766337752342224,0.8486853241920471,0.6189053654670715,,0.9
Hep-G2,1,0.8012474775314331,0.5681348443031311,0.6558265686035156,0.8453717827796936,0.6027485132217407,,0.9
K-562,4,0.8638057708740234,0.5807937979698181,0.6809571981430054,0.8564006090164185,0.6207972764968872,,0.9
Jurkat,0,0.7936911582946777,0.5174946784973145,0.5953457355499268,0.850347101688385,0.5398532152175903,,0.9
hTERT-RPE1,3,0.8336879014968872,0.564985990524292,0.6592261791229248,0.8386369943618774,0.6035817861557007,,0.9
hTERT-RPE1,1,0.8135952353477478,0.5727580785751343,0.6651440858840942,0.8384928703308105,0.6109725832939148,,0.9
Jurkat,1,0.7921426296234131,0.5273844003677368,0.6094638705253601,0.8428677916526794,0.5537613034248352,,0.9
K-562,0,0.8556721806526184,0.5567487478256226,0.6541867852210999,0.8534820079803467,0.5933837890625,,0.9
Jurkat,4,0.7942087054252625,0.5271492600440979,0.6077904105186462,0.8476992845535278,0.5520673394203186,,0.9
Jurkat,2,0.7980042099952698,0.5222829580307007,0.6037925481796265,0.8467541337013245,0.5477046370506287,,0.9
Jurkat,3,0.8191173672676086,0.5276008248329163,0.6134600639343262,0.847800076007843,0.5547820329666138,,0.9
Hep-G2,0,0.7997410297393799,0.5611043572425842,0.6468024849891663,0.8531273007392883,0.591411828994751,,0.9
K-562,1,0.8622952699661255,0.5747684836387634,0.6740133166313171,0.8504648804664612,0.6160618662834167,,0.9
K-562,3,0.8588927984237671,0.5791918635368347,0.6785744428634644,0.853644609451294,0.6194518804550171,,0.9
hTERT-RPE1,4,0.8175545930862427,0.5767676830291748,0.6685978770256042,0.8426894545555115,0.6149497032165527,,0.9
hTERT-RPE1,3,0.834841787815094,0.5661307573318481,0.661238431930542,0.8406132459640503,0.605044960975647,,0.99
K-562,4,0.8646337389945984,0.5818274617195129,0.6817305088043213,0.8579795956611633,0.6214102506637573,,0.99
