,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
41,expression/pert-prediction-essential-regression,Jurkat.3,"{'primary_metric': 'L2', 'L2': 5.636913435815735, 'MSE': 0.006309461246248591, 'MAE': 0.0527201642377913, 'Spearman': 0.4340345041296702, 'Pearson': 0.5390641614641264}",lasso_baseline_pca,L2,5.636913435815735,0.006309461246248591,0.0527201642377913,0.4340345041296702,0.5390641614641264,Jurkat
46,expression/pert-prediction-essential-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.79518563630487, 'MSE': 0.003945693656087132, 'MAE': 0.04308392849296147, 'Spearman': 0.29889994806994424, 'Pearson': 0.3568852523465999}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,4.79518563630487,0.003945693656087132,0.04308392849296147,0.29889994806994424,0.3568852523465999,K-562
42,expression/pert-prediction-essential-regression,hTERT-RPE1.4,"{'primary_metric': 'L2', 'L2': 6.7756010445460335, 'MSE': 0.008138651189329344, 'MAE': 0.05979084106618681, 'Spearman': 0.4834956169788254, 'Pearson': 0.6149157767754301}",knn_baseline_pca,L2,6.7756010445460335,0.008138651189329344,0.05979084106618681,0.4834956169788254,0.6149157767754301,hTERT-RPE1
46,expression/pert-prediction-essential-regression,Jurkat.1,"{'primary_metric': 'L2', 'L2': 6.764286295147818, 'MSE': 0.00824634294515755, 'MAE': 0.061419367602314145, 'Spearman': 0.26591972001692815, 'Pearson': 0.32177262203440077}",lasso_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,6.764286295147818,0.00824634294515755,0.061419367602314145,0.26591972001692815,0.32177262203440077,Jurkat
46,expression/pert-prediction-essential-regression,hTERT-RPE1.2,"{'primary_metric': 'L2', 'L2': 7.159611491079164, 'MSE': 0.008351806662355514, 'MAE': 0.06219742411093309, 'Spearman': 0.46218571805045994, 'Pearson': 0.5817715826142785}",knn_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,7.159611491079164,0.008351806662355514,0.06219742411093309,0.46218571805045994,0.5817715826142785,hTERT-RPE1
45,expression/pert-prediction-essential-regression,hTERT-RPE1.4,"{'primary_metric': 'L2', 'L2': 7.984104556755949, 'MSE': 0.010697176518150393, 'MAE': 0.06803440881202497, 'Spearman': 0.4215241817982722, 'Pearson': 0.5231220670614047}",knn_baseline_random,L2,7.984104556755949,0.010697176518150393,0.06803440881202497,0.4215241817982722,0.5231220670614047,hTERT-RPE1
44,expression/pert-prediction-essential-regression,Jurkat.3,"{'primary_metric': 'L2', 'L2': 7.004899313481503, 'MSE': 0.008953633797208135, 'MAE': 0.06299935126024836, 'Spearman': 0.22939227903782577, 'Pearson': 0.2770327676607844}",lasso_baseline_random,L2,7.004899313481503,0.008953633797208135,0.06299935126024836,0.22939227903782577,0.2770327676607844,Jurkat
46,expression/pert-prediction-essential-regression,hTERT-RPE1.3,"{'primary_metric': 'L2', 'L2': 7.363939926217447, 'MSE': 0.008946594520083083, 'MAE': 0.06410949467756724, 'Spearman': 0.4383727042597502, 'Pearson': 0.545808148894344}",lasso_baseline_KG_WaveGC_G_StringDB_combined_0.0_(D=128),L2,7.363939926217447,0.008946594520083083,0.06410949467756724,0.4383727042597502,0.545808148894344,hTERT-RPE1
45,expression/pert-prediction-essential-regression,Hep-G2.1,"{'primary_metric': 'L2', 'L2': 6.4008785522109415, 'MSE': 0.007325671015676145, 'MAE': 0.05825852734075839, 'Spearman': 0.3902309415853902, 'Pearson': 0.4752292578728389}",knn_baseline_pca,L2,6.4008785522109415,0.007325671015676145,0.05825852734075839,0.3902309415853902,0.4752292578728389,Hep-G2
47,expression/pert-prediction-essential-regression,Hep-G2.2,"{'primary_metric': 'L2', 'L2': 5.35283488065943, 'MSE': 0.004834011308316654, 'MAE': 0.049913028229094616, 'Spearman': 0.4905799180740523, 'Pearson': 0.5923330733709306}",lasso_baseline_pca,L2,5.35283488065943,0.004834011308316654,0.049913028229094616,0.4905799180740523,0.5923330733709306,Hep-G2
