,dataset,fold,metrics,name,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,roc_auc,average_precision,cell_line,quantile
44,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.39919841289520264, 'recall': 0.46075114607810974, 'precision': 0.40541186928749084, 'f1_classwise': 0.3809528052806854, 'f1_score_nans_are_zeros': 0.3746316432952881, 'primary_metric': 'f1_score'}",scGenePT_GO_BP_(D=1536),0.39919841289520264,0.46075114607810974,0.40541186928749084,0.3809528052806854,0.3746316432952881,f1_score,,,hTERT-RPE1,
46,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.40810641646385193, 'recall': 0.48777344822883606, 'precision': 0.41634583473205566, 'f1_classwise': 0.3760305941104889, 'f1_score_nans_are_zeros': 0.36458882689476013, 'primary_metric': 'f1_score'}",scGPT_essential_CELL_LINE_controls_(D=512),0.40810641646385193,0.48777344822883606,0.41634583473205566,0.3760305941104889,0.36458882689476013,f1_score,,,Hep-G2,
47,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.36848294734954834, 'recall': 0.3985978066921234, 'precision': 0.3840831220149994, 'f1_classwise': 0.33438655734062195, 'f1_score_nans_are_zeros': 0.32864803075790405, 'primary_metric': 'f1_score'}",AIDO.Cell_10M_positional_(D=256),0.36848294734954834,0.3985978066921234,0.3840831220149994,0.33438655734062195,0.32864803075790405,f1_score,,,Hep-G2,
43,expression/pert_prediction_essential_deg,K-562.3,"{'f1_score': 0.3433181941509247, 'recall': 0.3694732189178467, 'precision': 0.3557434380054474, 'f1_classwise': 0.33120185136795044, 'f1_score_nans_are_zeros': 0.3291395902633667, 'primary_metric': 'f1_score'}",AIDO.Cell_100M_positional_(D=640),0.3433181941509247,0.3694732189178467,0.3557434380054474,0.33120185136795044,0.3291395902633667,f1_score,,,K-562,
81,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.38096633553504944, 'recall': 0.4303949177265167, 'precision': 0.3936619460582733, 'f1_classwise': 0.3433830738067627, 'f1_score_nans_are_zeros': 0.3382280766963959, 'primary_metric': 'f1_score'}",STRING_sequence_(D=1024),0.38096633553504944,0.4303949177265167,0.3936619460582733,0.3433830738067627,0.3382280766963959,f1_score,,,Jurkat,
45,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.3526765704154968, 'recall': 0.40554752945899963, 'precision': 0.3791593015193939, 'f1_classwise': 0.3332448899745941, 'f1_score_nans_are_zeros': 0.32940900325775146, 'primary_metric': 'f1_score'}",AIDOprot_seq+struct_(D=1024),0.3526765704154968,0.40554752945899963,0.3791593015193939,0.3332448899745941,0.32940900325775146,f1_score,,,hTERT-RPE1,
48,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.26647621393203735, 'recall': 0.39084142446517944, 'precision': 0.3800719082355499, 'f1_classwise': 0.23984785377979279, 'f1_score_nans_are_zeros': 0.23441502451896667, 'primary_metric': 'f1_score'}",AIDOprot_mean_(D=384),0.26647621393203735,0.39084142446517944,0.3800719082355499,0.23984785377979279,0.23441502451896667,f1_score,,,Hep-G2,
44,expression/pert_prediction_essential_deg,K-562.3,"{'f1_score': 0.22866442799568176, 'recall': 0.3532383441925049, 'precision': 0.34972307085990906, 'f1_classwise': 0.22057385742664337, 'f1_score_nans_are_zeros': 0.21875949203968048, 'primary_metric': 'f1_score'}",AIDOprot_first_(D=384),0.22866442799568176,0.3532383441925049,0.34972307085990906,0.22057385742664337,0.21875949203968048,f1_score,,,K-562,
46,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.39603838324546814, 'recall': 0.4608786702156067, 'precision': 0.4051074981689453, 'f1_classwise': 0.3769175708293915, 'f1_score_nans_are_zeros': 0.37093445658683777, 'primary_metric': 'f1_score'}",STRING_network_(D=512),0.39603838324546814,0.4608786702156067,0.4051074981689453,0.3769175708293915,0.37093445658683777,f1_score,,,hTERT-RPE1,
82,expression/pert_prediction_essential_deg,Jurkat.2,"{'f1_score': 0.4103892743587494, 'recall': 0.4735129177570343, 'precision': 0.4132412374019623, 'f1_classwise': 0.37609684467315674, 'f1_score_nans_are_zeros': 0.3662090599536896, 'primary_metric': 'f1_score'}",scGenePT_NCBI+UniProt_(D=1536),0.4103892743587494,0.4735129177570343,0.4132412374019623,0.37609684467315674,0.3662090599536896,f1_score,,,Jurkat,
49,expression/pert_prediction_essential_deg,Hep-G2.2,"{'f1_score': 0.3555664122104645, 'recall': 0.5717996954917908, 'precision': 0.41836073994636536, 'f1_classwise': 0.3274584114551544, 'f1_score_nans_are_zeros': 0.3168867826461792, 'primary_metric': 'f1_score'}",STRING_Spectral_Medium_Conf_(D=128),0.3555664122104645,0.5717996954917908,0.41836073994636536,0.3274584114551544,0.3168867826461792,f1_score,,,Hep-G2,
47,expression/pert_prediction_essential_deg,hTERT-RPE1.2,"{'f1_score': 0.40179064869880676, 'recall': 0.4727824032306671, 'precision': 0.4094325006008148, 'f1_classwise': 0.38357675075531006, 'f1_score_nans_are_zeros': 0.37701311707496643, 'primary_metric': 'f1_score'}",scGenePT_GO_all_(D=1536),0.40179064869880676,0.4727824032306671,0.4094325006008148,0.38357675075531006,0.37701311707496643,f1_score,,,hTERT-RPE1,
