,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
89,expression/pert_prediction_tahoe_deg,CVCL_1119.2,"{'f1_score': 0.5527410507202148, 'recall': 0.5567119717597961, 'precision': 0.5587351322174072, 'f1_classwise': 0.3899938762187958, 'f1_score_nans_are_zeros': 0.35507604479789734, 'primary_metric': 'f1_score'}",gene_targets_confidence_with_pubchem,,,0.5527410507202148,0.5567119717597961,0.5587351322174072,0.3899938762187958,0.35507604479789734,f1_score,CVCL_1119,
100,expression/pert_prediction_tahoe_deg,CVCL_1125.1,"{'f1_score': 0.765973687171936, 'recall': 0.7637305855751038, 'precision': 0.7765194773674011, 'f1_classwise': 0.34548303484916687, 'f1_score_nans_are_zeros': 0.32706010341644287, 'primary_metric': 'f1_score'}",erg,,,0.765973687171936,0.7637305855751038,0.7765194773674011,0.34548303484916687,0.32706010341644287,f1_score,CVCL_1125,
88,expression/pert_prediction_tahoe_deg,CVCL_1097.2,"{'f1_score': 0.5203719139099121, 'recall': 0.546299397945404, 'precision': 0.5464741587638855, 'f1_classwise': 0.3527015149593353, 'f1_score_nans_are_zeros': 0.32042041420936584, 'primary_metric': 'f1_score'}",TranscriptFormer_Norman_K-562_controls_(D=2048)_sum,,,0.5203719139099121,0.546299397945404,0.5464741587638855,0.3527015149593353,0.32042041420936584,f1_score,CVCL_1097,
103,expression/pert_prediction_tahoe_deg,CVCL_1097.1,"{'f1_score': 0.5699803233146667, 'recall': 0.5813395380973816, 'precision': 0.5854373574256897, 'f1_classwise': 0.3570859134197235, 'f1_score_nans_are_zeros': 0.3239741325378418, 'primary_metric': 'f1_score'}",erg,,,0.5699803233146667,0.5813395380973816,0.5854373574256897,0.3570859134197235,0.3239741325378418,f1_score,CVCL_1097,
89,expression/pert_prediction_tahoe_deg,CVCL_1285.2,"{'f1_score': 0.5229101181030273, 'recall': 0.5388919115066528, 'precision': 0.5291256308555603, 'f1_classwise': 0.39796018600463867, 'f1_score_nans_are_zeros': 0.3589262366294861, 'primary_metric': 'f1_score'}",AIDOcell_100M_Norman_Aligned_(D=640)_sum,,,0.5229101181030273,0.5388919115066528,0.5291256308555603,0.39796018600463867,0.3589262366294861,f1_score,CVCL_1285,
102,expression/pert_prediction_tahoe_deg,CVCL_1119.1,"{'f1_score': 0.5603175163269043, 'recall': 0.5689358115196228, 'precision': 0.5641592741012573, 'f1_classwise': 0.3783818185329437, 'f1_score_nans_are_zeros': 0.34157735109329224, 'primary_metric': 'f1_score'}",chatgpt,,,0.5603175163269043,0.5689358115196228,0.5641592741012573,0.3783818185329437,0.34157735109329224,f1_score,CVCL_1119,
91,expression/pert_prediction_tahoe_deg,CVCL_1381.2,"{'f1_score': 0.5467928647994995, 'recall': 0.5643994808197021, 'precision': 0.558810293674469, 'f1_classwise': 0.37889719009399414, 'f1_score_nans_are_zeros': 0.33685484528541565, 'primary_metric': 'f1_score'}",scPRINT_Norman_K-562_controls_(D=512)_weighted,,,0.5467928647994995,0.5643994808197021,0.558810293674469,0.37889719009399414,0.33685484528541565,f1_score,CVCL_1381,
89,expression/pert_prediction_tahoe_deg,CVCL_1239.2,"{'f1_score': 0.6094582676887512, 'recall': 0.6123893857002258, 'precision': 0.6130130290985107, 'f1_classwise': 0.37570735812187195, 'f1_score_nans_are_zeros': 0.3436822295188904, 'primary_metric': 'f1_score'}",gene_targets_binary_with_pubchem,,,0.6094582676887512,0.6123893857002258,0.6130130290985107,0.37570735812187195,0.3436822295188904,f1_score,CVCL_1239,
88,expression/pert_prediction_tahoe_deg,CVCL_1125.2,"{'f1_score': 0.7380520701408386, 'recall': 0.7379246354103088, 'precision': 0.7396665215492249, 'f1_classwise': 0.34418925642967224, 'f1_score_nans_are_zeros': 0.3321329951286316, 'primary_metric': 'f1_score'}",gene_targets_binary_with_pubchem,,,0.7380520701408386,0.7379246354103088,0.7396665215492249,0.34418925642967224,0.3321329951286316,f1_score,CVCL_1125,
89,expression/pert_prediction_tahoe_deg,CVCL_1098.2,"{'f1_score': 0.6167132258415222, 'recall': 0.6310306191444397, 'precision': 0.6179376840591431, 'f1_classwise': 0.3936462104320526, 'f1_score_nans_are_zeros': 0.3524390459060669, 'primary_metric': 'f1_score'}",AIDOcell_100M_Norman_Aligned_(D=640)_weighted,,,0.6167132258415222,0.6310306191444397,0.6179376840591431,0.3936462104320526,0.3524390459060669,f1_score,CVCL_1098,
