,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
322,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.754529834302214, 'MSE': 0.005103026973322669, 'MAE': 0.02126080652322954, 'Spearman': 0.2972895308710777, 'Pearson': 0.548180845447921}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_ESM2_(D=1280)_pca_concatenated_(D=200),L2,4.754529834302214,0.005103026973322669,0.02126080652322954,0.2972895308710777,0.548180845447921,K-562
323,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.543210708511146, 'MSE': 0.005351195444864056, 'MAE': 0.02049101750573653, 'Spearman': 0.23399790176118512, 'Pearson': 0.5044527155032333}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_ESM2_(D=1280)_concatenated_(D=1920),L2,4.543210708511146,0.005351195444864056,0.02049101750573653,0.23399790176118512,0.5044527155032333,K-562
323,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.741778582339716, 'MSE': 0.00507246308856532, 'MAE': 0.021239504560604597, 'Spearman': 0.297531070477539, 'Pearson': 0.5523626928669122}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_ESM2_(D=1280)_concatenated_(D=1920),L2,4.741778582339716,0.00507246308856532,0.021239504560604597,0.297531070477539,0.5523626928669122,K-562
321,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.120330297159891, 'MSE': 0.0038683807742982456, 'MAE': 0.01819827934445747, 'Spearman': 0.20809888486572709, 'Pearson': 0.3549250933013407}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_ESM2_(D=1280)_concatenated_(D=1920),L2,4.120330297159891,0.0038683807742982456,0.01819827934445747,0.20809888486572709,0.3549250933013407,K-562
320,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 3.9234566735246736, 'MSE': 0.003253710815287874, 'MAE': 0.017209734567621524, 'Spearman': 0.22193711545429268, 'Pearson': 0.4678303527307741}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_ESM2_(D=1280)_pca_concatenated_(D=200),L2,3.9234566735246736,0.003253710815287874,0.017209734567621524,0.22193711545429268,0.4678303527307741,K-562
322,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.045035784652071, 'MSE': 0.0038189134145713097, 'MAE': 0.018039766088767558, 'Spearman': 0.2387171953634201, 'Pearson': 0.46831970068503626}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_ESM2_(D=1280)_pca_concatenated_(D=200),L2,4.045035784652071,0.0038189134145713097,0.018039766088767558,0.2387171953634201,0.46831970068503626,K-562
321,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 3.9708218248216256, 'MSE': 0.0033151163724889454, 'MAE': 0.017389959778716872, 'Spearman': 0.21956882245911385, 'Pearson': 0.462334262455749}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_KG_WaveGC_G_StringDB_combined_0.0_(D=128)_concatenated_(D=768),L2,3.9708218248216256,0.0033151163724889454,0.017389959778716872,0.21956882245911385,0.462334262455749,K-562
323,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.018672658917709, 'MSE': 0.003796195023244515, 'MAE': 0.017972355854907994, 'Spearman': 0.23795978141278237, 'Pearson': 0.4715613794226041}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_ESM2_(D=1280)_concatenated_(D=1920),L2,4.018672658917709,0.003796195023244515,0.017972355854907994,0.23795978141278237,0.4715613794226041,K-562
322,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 3.9614430588183596, 'MSE': 0.0033017868579853942, 'MAE': 0.01734429914818063, 'Spearman': 0.22089726730822998, 'Pearson': 0.4641826717989853}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_AIDOdna_(D=4352)_pca_concatenated_(D=200),L2,3.9614430588183596,0.0033017868579853942,0.01734429914818063,0.22089726730822998,0.4641826717989853,K-562
322,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.120392802284729, 'MSE': 0.003853849776425551, 'MAE': 0.018206882014324938, 'Spearman': 0.20789001390072745, 'Pearson': 0.35372830822912005}",lasso_baseline_AIDOcell_100M_Norman_Aligned_(D=640)_x_KG_WaveGC_G_StringDB_combined_0.0_(D=128)_concatenated_(D=768),L2,4.120392802284729,0.003853849776425551,0.018206882014324938,0.20789001390072745,0.35372830822912005,K-562
