,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
17,expression/pert_prediction_sciplex3_deg,MCF7.1,"{'roc_auc': 0.18949256837368011, 'average_precision': 0.725381076335907, 'f1_score': 0.7121537327766418, 'recall': 0.725381076335907, 'precision': 0.7010743021965027, 'f1_classwise': 0.3234671950340271, 'f1_score_nans_are_zeros': 0.3234672248363495, 'primary_metric': 'f1_score'}",prior,0.18949256837368011,0.725381076335907,0.7121537327766418,0.725381076335907,0.7010743021965027,0.3234671950340271,0.3234672248363495,f1_score,MCF7,
17,expression/pert_prediction_sciplex3_deg,A549.0,"{'roc_auc': 0.14530213177204132, 'average_precision': 0.7860140204429626, 'f1_score': 0.7793366312980652, 'recall': 0.7860140204429626, 'precision': 0.7733640074729919, 'f1_classwise': 0.32857561111450195, 'f1_score_nans_are_zeros': 0.32857561111450195, 'primary_metric': 'f1_score'}",prior,0.14530213177204132,0.7860140204429626,0.7793366312980652,0.7860140204429626,0.7733640074729919,0.32857561111450195,0.32857561111450195,f1_score,A549,
17,expression/pert_prediction_sciplex3_deg,K562.0,"{'roc_auc': 0.08749327808618546, 'average_precision': 0.8691501617431641, 'f1_score': 0.8648477792739868, 'recall': 0.8691501617431641, 'precision': 0.8609600067138672, 'f1_classwise': 0.33044010400772095, 'f1_score_nans_are_zeros': 0.33044010400772095, 'primary_metric': 'f1_score'}",prior,0.08749327808618546,0.8691501617431641,0.8648477792739868,0.8691501617431641,0.8609600067138672,0.33044010400772095,0.33044010400772095,f1_score,K562,
18,expression/pert_prediction_sciplex3_deg,A549.1,"{'roc_auc': 0.12442171573638916, 'average_precision': 0.817383885383606, 'f1_score': 0.8122993111610413, 'recall': 0.817383885383606, 'precision': 0.8076966404914856, 'f1_classwise': 0.329641193151474, 'f1_score_nans_are_zeros': 0.3296411633491516, 'primary_metric': 'f1_score'}",most_frequent,0.12442171573638916,0.817383885383606,0.8122993111610413,0.817383885383606,0.8076966404914856,0.329641193151474,0.3296411633491516,f1_score,A549,
18,expression/pert_prediction_sciplex3_deg,MCF7.1,"{'roc_auc': 0.18949256837368011, 'average_precision': 0.725381076335907, 'f1_score': 0.7121537327766418, 'recall': 0.725381076335907, 'precision': 0.7010743021965027, 'f1_classwise': 0.3234671950340271, 'f1_score_nans_are_zeros': 0.3234672248363495, 'primary_metric': 'f1_score'}",most_frequent,0.18949256837368011,0.725381076335907,0.7121537327766418,0.725381076335907,0.7010743021965027,0.3234671950340271,0.3234672248363495,f1_score,MCF7,
18,expression/pert_prediction_sciplex3_deg,A549.0,"{'roc_auc': 0.14530213177204132, 'average_precision': 0.7860140204429626, 'f1_score': 0.7793366312980652, 'recall': 0.7860140204429626, 'precision': 0.7733640074729919, 'f1_classwise': 0.32857561111450195, 'f1_score_nans_are_zeros': 0.32857561111450195, 'primary_metric': 'f1_score'}",most_frequent,0.14530213177204132,0.7860140204429626,0.7793366312980652,0.7860140204429626,0.7733640074729919,0.32857561111450195,0.32857561111450195,f1_score,A549,
18,expression/pert_prediction_sciplex3_deg,K562.0,"{'roc_auc': 0.08749327808618546, 'average_precision': 0.8691501617431641, 'f1_score': 0.8648477792739868, 'recall': 0.8691501617431641, 'precision': 0.8609600067138672, 'f1_classwise': 0.33044010400772095, 'f1_score_nans_are_zeros': 0.33044010400772095, 'primary_metric': 'f1_score'}",most_frequent,0.08749327808618546,0.8691501617431641,0.8648477792739868,0.8691501617431641,0.8609600067138672,0.33044010400772095,0.33044010400772095,f1_score,K562,
17,expression/pert_prediction_sciplex3_deg,K562.1,"{'roc_auc': 0.09197597205638885, 'average_precision': 0.8628115653991699, 'f1_score': 0.8582327365875244, 'recall': 0.8628115653991699, 'precision': 0.8540945053100586, 'f1_classwise': 0.33022382855415344, 'f1_score_nans_are_zeros': 0.33022385835647583, 'primary_metric': 'f1_score'}",most_frequent,0.09197597205638885,0.8628115653991699,0.8582327365875244,0.8628115653991699,0.8540945053100586,0.33022382855415344,0.33022385835647583,f1_score,K562,
18,expression/pert_prediction_sciplex3_deg,K562.1,"{'roc_auc': 0.09197597205638885, 'average_precision': 0.8628115653991699, 'f1_score': 0.8582327365875244, 'recall': 0.8628115653991699, 'precision': 0.8540945053100586, 'f1_classwise': 0.33022382855415344, 'f1_score_nans_are_zeros': 0.33022385835647583, 'primary_metric': 'f1_score'}",prior,0.09197597205638885,0.8628115653991699,0.8582327365875244,0.8628115653991699,0.8540945053100586,0.33022382855415344,0.33022385835647583,f1_score,K562,
16,expression/pert_prediction_sciplex3_deg,MCF7.2,"{'roc_auc': 0.2130625694990158, 'average_precision': 0.6895015835762024, 'f1_score': 0.6803884506225586, 'recall': 0.6895015835762024, 'precision': 0.6721515655517578, 'f1_classwise': 0.3266674876213074, 'f1_score_nans_are_zeros': 0.326667457818985, 'primary_metric': 'f1_score'}",no_change,0.2130625694990158,0.6895015835762024,0.6803884506225586,0.6895015835762024,0.6721515655517578,0.3266674876213074,0.326667457818985,f1_score,MCF7,
17,expression/pert_prediction_sciplex3_deg,MCF7.2,"{'roc_auc': 0.2130625694990158, 'average_precision': 0.6895015835762024, 'f1_score': 0.6803884506225586, 'recall': 0.6895015835762024, 'precision': 0.6721515655517578, 'f1_classwise': 0.3266674876213074, 'f1_score_nans_are_zeros': 0.326667457818985, 'primary_metric': 'f1_score'}",prior,0.2130625694990158,0.6895015835762024,0.6803884506225586,0.6895015835762024,0.6721515655517578,0.3266674876213074,0.326667457818985,f1_score,MCF7,
16,expression/pert_prediction_sciplex3_deg,MCF7.3,"{'roc_auc': 0.06819974631071091, 'average_precision': 0.8981889486312866, 'f1_score': 0.8962270617485046, 'recall': 0.8981889486312866, 'precision': 0.894372820854187, 'f1_classwise': 0.3319927155971527, 'f1_score_nans_are_zeros': 0.3319927453994751, 'primary_metric': 'f1_score'}",no_change,0.06819974631071091,0.8981889486312866,0.8962270617485046,0.8981889486312866,0.894372820854187,0.3319927155971527,0.3319927453994751,f1_score,MCF7,
16,expression/pert_prediction_sciplex3_deg,A549.3,"{'roc_auc': 0.029505109414458275, 'average_precision': 0.9561681747436523, 'f1_score': 0.9554121494293213, 'recall': 0.9561681747436523, 'precision': 0.954691469669342, 'f1_classwise': 0.33280494809150696, 'f1_score_nans_are_zeros': 0.33280491828918457, 'primary_metric': 'f1_score'}",prior,0.029505109414458275,0.9561681747436523,0.9554121494293213,0.9561681747436523,0.954691469669342,0.33280494809150696,0.33280491828918457,f1_score,A549,
16,expression/pert_prediction_sciplex3_deg,K562.2,"{'roc_auc': 0.07902994006872177, 'average_precision': 0.8817732930183411, 'f1_score': 0.8792974948883057, 'recall': 0.8817732930183411, 'precision': 0.8769552707672119, 'f1_classwise': 0.3316647708415985, 'f1_score_nans_are_zeros': 0.3316648006439209, 'primary_metric': 'f1_score'}",prior,0.07902994006872177,0.8817732930183411,0.8792974948883057,0.8817732930183411,0.8769552707672119,0.3316647708415985,0.3316648006439209,f1_score,K562,
16,expression/pert_prediction_sciplex3_deg,A549.2,"{'roc_auc': 0.1487089991569519, 'average_precision': 0.7810829877853394, 'f1_score': 0.7758597135543823, 'recall': 0.7810829877853394, 'precision': 0.7709898948669434, 'f1_classwise': 0.32959601283073425, 'f1_score_nans_are_zeros': 0.32959601283073425, 'primary_metric': 'f1_score'}",no_change,0.1487089991569519,0.7810829877853394,0.7758597135543823,0.7810829877853394,0.7709898948669434,0.32959601283073425,0.32959601283073425,f1_score,A549,
17,expression/pert_prediction_sciplex3_deg,K562.2,"{'roc_auc': 0.07902994006872177, 'average_precision': 0.8817732930183411, 'f1_score': 0.8792974948883057, 'recall': 0.8817732930183411, 'precision': 0.8769552707672119, 'f1_classwise': 0.3316647708415985, 'f1_score_nans_are_zeros': 0.3316648006439209, 'primary_metric': 'f1_score'}",most_frequent,0.07902994006872177,0.8817732930183411,0.8792974948883057,0.8817732930183411,0.8769552707672119,0.3316647708415985,0.3316648006439209,f1_score,K562,
18,expression/pert_prediction_sciplex3_deg,MCF7.2,"{'roc_auc': 0.2130625694990158, 'average_precision': 0.6895015835762024, 'f1_score': 0.6803884506225586, 'recall': 0.6895015835762024, 'precision': 0.6721515655517578, 'f1_classwise': 0.3266674876213074, 'f1_score_nans_are_zeros': 0.326667457818985, 'primary_metric': 'f1_score'}",most_frequent,0.2130625694990158,0.6895015835762024,0.6803884506225586,0.6895015835762024,0.6721515655517578,0.3266674876213074,0.326667457818985,f1_score,MCF7,
17,expression/pert_prediction_sciplex3_deg,A549.2,"{'roc_auc': 0.1487089991569519, 'average_precision': 0.7810829877853394, 'f1_score': 0.7758597135543823, 'recall': 0.7810829877853394, 'precision': 0.7709898948669434, 'f1_classwise': 0.32959601283073425, 'f1_score_nans_are_zeros': 0.32959601283073425, 'primary_metric': 'f1_score'}",prior,0.1487089991569519,0.7810829877853394,0.7758597135543823,0.7810829877853394,0.7709898948669434,0.32959601283073425,0.32959601283073425,f1_score,A549,
17,expression/pert_prediction_sciplex3_deg,MCF7.3,"{'roc_auc': 0.06819974631071091, 'average_precision': 0.8981889486312866, 'f1_score': 0.8962270617485046, 'recall': 0.8981889486312866, 'precision': 0.894372820854187, 'f1_classwise': 0.3319927155971527, 'f1_score_nans_are_zeros': 0.3319927453994751, 'primary_metric': 'f1_score'}",most_frequent,0.06819974631071091,0.8981889486312866,0.8962270617485046,0.8981889486312866,0.894372820854187,0.3319927155971527,0.3319927453994751,f1_score,MCF7,
18,expression/pert_prediction_sciplex3_deg,MCF7.3,"{'roc_auc': 0.06819974631071091, 'average_precision': 0.8981889486312866, 'f1_score': 0.8962270617485046, 'recall': 0.8981889486312866, 'precision': 0.894372820854187, 'f1_classwise': 0.3319927155971527, 'f1_score_nans_are_zeros': 0.3319927453994751, 'primary_metric': 'f1_score'}",prior,0.06819974631071091,0.8981889486312866,0.8962270617485046,0.8981889486312866,0.894372820854187,0.3319927155971527,0.3319927453994751,f1_score,MCF7,
18,expression/pert_prediction_sciplex3_deg,K562.2,"{'roc_auc': 0.07902994006872177, 'average_precision': 0.8817732930183411, 'f1_score': 0.8792974948883057, 'recall': 0.8817732930183411, 'precision': 0.8769552707672119, 'f1_classwise': 0.3316647708415985, 'f1_score_nans_are_zeros': 0.3316648006439209, 'primary_metric': 'f1_score'}",no_change,0.07902994006872177,0.8817732930183411,0.8792974948883057,0.8817732930183411,0.8769552707672119,0.3316647708415985,0.3316648006439209,f1_score,K562,
18,expression/pert_prediction_sciplex3_deg,A549.2,"{'roc_auc': 0.1487089991569519, 'average_precision': 0.7810829877853394, 'f1_score': 0.7758597135543823, 'recall': 0.7810829877853394, 'precision': 0.7709898948669434, 'f1_classwise': 0.32959601283073425, 'f1_score_nans_are_zeros': 0.32959601283073425, 'primary_metric': 'f1_score'}",most_frequent,0.1487089991569519,0.7810829877853394,0.7758597135543823,0.7810829877853394,0.7709898948669434,0.32959601283073425,0.32959601283073425,f1_score,A549,
